parcelid	land use	zoning	assessed total	appraised total
03400000800	Commercial  	J. Industrial	$400.00	$1,300.00
04820902160	Commercial  	C. Multiple Family Residential	$7,500.00	$23,400.00
03380001900	vacant residential lot  	D. Multiple Family Residential	$300.00	$1,600.00
03590000300	Commercial  	D. Multiple Family Residential	$16,300.00	$50,900.00
03900000390	vacant residential lot  	D. Multiple Family Residential	$1,010.00	$5,300.00
04750001470	vacant residential lot  	A. Single Family Residential	$1,860.00	$9,800.00
05970001100	Commercial  	J. Industrial	$5,100.00	$15,900.00
02740080210	Commercial  	I. Central Business District		
03460002000	vacant residential lot  	J. Industrial	$110.00	$600.00
04990000100	Commercial  	I. Central Business District	$0.00	$0.00
00990000650	Commercial  	L. Jefferson Memorial District	$17,100.00	$53,400.00
06630002150	single family units  	D. Multiple Family Residential	$30,480.00	$160,400.00
06200001100	vacant residential lot  	D. Multiple Family Residential	$420.00	$2,200.00
05620001800	single family units  	D. Multiple Family Residential	$5,570.00	$29,300.00
03450001900	vacant residential lot  	J. Industrial	$150.00	$800.00
00220000170	Commercial  	K. Unrestricted	$2,100.00	$6,600.00
05030000200	Commercial  	I. Central Business District	$72,000.00	$225,000.00
03080300500	Commercial  	K. Unrestricted	$0.00	$0.00
04260000400	Commercial  	I. Central Business District	$0.00	$0.00
04030000200	vacant residential lot  	D. Multiple Family Residential	$3,990.00	$21,000.00
05390000800	Commercial  	J. Industrial	$10,600.00	$33,100.00
06800001800	single family units  	D. Multiple Family Residential	$20,120.00	$105,900.00
06280000600	vacant residential lot  	D. Multiple Family Residential	$250.00	$1,300.00
01520001000	Commercial  	I. Central Business District	$17,800.00	$55,600.00
05910001600	Commercial  	J. Industrial	$34,800.00	$108,800.00
03870600240	two family unit  	D. Multiple Family Residential	$33,690.00	$177,300.00
07800001800	four family unit  	D. Multiple Family Residential	$36,420.00	$191,700.00
00520001000	Commercial  	L. Jefferson Memorial District	$12,200.00	$38,100.00
01240001100	Commercial  	I. Central Business District	$32,000.00	$100,000.00
01200000450	Commercial  	I. Central Business District	$437,800.00	$1,368,100.00
04820302400	Commercial  	D. Multiple Family Residential	$50,700.00	$158,400.00
04620500650	Commercial  	I. Central Business District	$8,800.00	$27,500.00
01370401100	Commercial  		$0.00	$0.00
02710000300	Commercial  	J. Industrial	$0.00	$0.00
02150480500	 	I. Central Business District		
04050000500	four family unit  	D. Multiple Family Residential	$34,390.00	$181,000.00
01570000100	Commercial  	L. Jefferson Memorial District	$11,800.00	$36,900.00
01610000950	Commercial  	I. Central Business District	$65,800.00	$205,600.00
04270000460	Commercial  	I. Central Business District	$62,500.00	$195,300.00
05620003700	single family units  	D. Multiple Family Residential	$6,570.00	$34,600.00
04830401250	single family units  	B. Two Family Residential	$53,280.00	$280,400.00
01170000850	Commercial  	I. Central Business District	$447,700.00	$1,399,100.00
07060000100	Commercial  	K. Unrestricted	$166,000.00	$518,800.00
06230000700	vacant residential lot  	F. Neighborhood Commercial	$740.00	$3,900.00
04840003050	single family units  	B. Two Family Residential	$29,240.00	$153,900.00
