parcelid	land use	zoning	assessed total	appraised total
04820902810				
06320000500	vacant residential lot  	D. Multiple Family Residential	$170.00	$900.00
02140300100	Commercial  	K. Unrestricted	$16,500.00	$51,600.00
07800002900	single family units  	D. Multiple Family Residential	$27,510.00	$144,800.00
07780000900	single family units  	D. Multiple Family Residential	$17,350.00	$91,300.00
03900001900	single family units  	D. Multiple Family Residential	$35,800.00	$188,400.00
06380000050	Commercial  	D. Multiple Family Residential	$8,200.00	$25,600.00
03400001600	vacant residential lot  	J. Industrial	$100.00	$500.00
06581300200	Commercial  	J. Industrial	$700.00	$2,200.00
06390000400	single family units  	F. Neighborhood Commercial	$5,320.00	$28,000.00
00440300200	Commercial  		$11,300.00	$35,300.00
05170080110	 	I. Central Business District		
00710400150	Commercial  	K. Unrestricted	$399,800.00	$1,249,400.00
00680000400	Commercial  	L. Jefferson Memorial District	$0.00	$0.00
07390000400	Commercial  	K. Unrestricted	$38,500.00	$120,300.00
06330000150	vacant residential lot  	F. Neighborhood Commercial	$230.00	$1,200.00
00140000050	Commercial  		$0.00	$0.00
01620000150	Commercial  	I. Central Business District	$54,200.00	$169,400.00
03330000600	Commercial  	K. Unrestricted	$1,000.00	$3,100.00
02950000800	Commercial  	K. Unrestricted	$24,600.00	$76,900.00
05310000100	Commercial  	I. Central Business District	$284,200.00	$888,100.00
02330000600	Commercial  	K. Unrestricted	$3,700.00	$11,600.00
03450000700	vacant residential lot  	J. Industrial	$210.00	$1,100.00
04450000110	Commercial  	K. Unrestricted	$113,700.00	$355,300.00
02501300110	Commercial  	K. Unrestricted	$240,000.00	$750,000.00
04840002200				
04830303200	vacant residential lot  	D. Multiple Family Residential	$2,110.00	$11,100.00
03720001410	single family units  	D. Multiple Family Residential	$65,210.00	$343,200.00
04040001300	four family unit  	D. Multiple Family Residential	$20,270.00	$106,700.00
06190500100	Commercial  	G. Local Commercial and Office	$1,000.00	$3,100.00
03340000900	Commercial  	K. Unrestricted	$400.00	$1,300.00
01000000100				
02020000150				
03420000800	Commercial  	J. Industrial	$6,000.00	$18,800.00
05520000500	multi-family residential  	D. Multiple Family Residential	$63,520.00	$334,300.00
02260000300	Commercial  	K. Unrestricted	$3,500.00	$10,900.00
05770000300	Commercial  	J. Industrial	$10,800.00	$33,800.00
05240000400	Commercial  	I. Central Business District	$50,100.00	$156,600.00
04750001560	single family units  	A. Single Family Residential	$26,110.00	$137,400.00
06540001000	Commercial  	J. Industrial	$3,000.00	$9,400.00
04650300910	single family units  	D. Multiple Family Residential	$27,850.00	$146,600.00
04260000180	Commercial  	I. Central Business District	$0.00	$0.00
06710001600	single family units  	D. Multiple Family Residential	$8,950.00	$47,100.00
04850002650	single family units  	B. Two Family Residential	$42,390.00	$223,100.00
06220001100	four family unit  	D. Multiple Family Residential	$1,730.00	$9,100.00
05640400300	Commercial  	J. Industrial	$9,100.00	$28,400.00
03820001700	vacant residential lot  	D. Multiple Family Residential	$9,120.00	$48,000.00
01900002000	Commercial  	I. Central Business District	$704,500.00	$2,201,600.00
06581300600	Commercial  	J. Industrial	$1,300.00	$4,100.00
06840001360	two family unit  	D. Multiple Family Residential	$25,780.00	$135,700.00
00840000200	Commercial  	L. Jefferson Memorial District	$62,300.00	$194,700.00
05310000500	Commercial  	I. Central Business District	$188,000.00	$587,500.00
04830402750				
02330000200	Commercial  	K. Unrestricted	$12,100.00	$37,800.00
03450000300	Commercial  	J. Industrial	$400.00	$1,300.00
03600000500	two family unit  	D. Multiple Family Residential	$1,240.00	$6,500.00
03860000250	single family units  	D. Multiple Family Residential	$66,940.00	$352,300.00
06180001350	single family units  	C. Multiple Family Residential	$22,650.00	$119,200.00
05470000400	Commercial  	J. Industrial	$112,400.00	$351,300.00
01560500100	Commercial  	I. Central Business District	$244,600.00	$764,400.00
02450000300	Commercial  	K. Unrestricted	$7,800.00	$24,400.00
03330000200	vacant residential lot  	K. Unrestricted	$170.00	$900.00
04840000550	single family units  	B. Two Family Residential	$37,430.00	$197,000.00
04850000100	single family units  	B. Two Family Residential	$42,350.00	$222,900.00
04820301100	single family units  	C. Multiple Family Residential	$31,480.00	$165,700.00
01550000950	Commercial  		$3,600.00	$11,300.00
04660304000	single family units  	D. Multiple Family Residential	$21,770.00	$114,600.00
06320000100	Commercial  	F. Neighborhood Commercial	$4,600.00	$14,400.00
06170000700	vacant residential lot  	C. Multiple Family Residential	$270.00	$1,400.00
03210000800	Commercial  	K. Unrestricted	$4,900.00	$15,300.00
03960000940	Commercial  	D. Multiple Family Residential	$1,100.00	$3,400.00
03400001200	vacant residential lot  	J. Industrial	$110.00	$600.00
03380000300	Commercial  	J. Industrial	$1,000.00	$3,100.00
04630400800	two family unit  	D. Multiple Family Residential	$29,260.00	$154,000.00
03830001350	four family unit  	D. Multiple Family Residential	$34,160.00	$179,800.00
05420001500				
06140001350	single family units  	J. Industrial	$3,000.00	$15,800.00
05640400900	Commercial  	J. Industrial	$2,100.00	$6,600.00
01880000200	Commercial  	I. Central Business District	$7,520,000.00	$23,500,000.00
02620001500	single family units  	D. Multiple Family Residential	$9,800.00	$51,600.00
03720002250	four family unit  	D. Multiple Family Residential	$4,730.00	$24,900.00
03840001250	three family unit  	G. Local Commercial and Office	$40,640.00	$213,900.00
00410000600	Commercial  	L. Jefferson Memorial District	$300.00	$900.00
05860000220	Commercial  	C. Multiple Family Residential	$100.00	$300.00
07430000100	Commercial  	K. Unrestricted	$850,600.00	$2,658,100.00
06180001530	single family units  	C. Multiple Family Residential	$20,960.00	$110,300.00
04630402550	single family units  	D. Multiple Family Residential	$24,700.00	$130,000.00
04830301330				
00660000110	Commercial  		$0.00	$0.00
06310000220				
04840000330	two family unit  	B. Two Family Residential	$36,940.00	$194,400.00
03100000150	Commercial  	K. Unrestricted	$46,800.00	$146,300.00
06430000100	vacant residential lot  	D. Multiple Family Residential	$230.00	$1,200.00
02800000700	Commercial  	I. Central Business District	$139,400.00	$435,600.00
02810000350	multi-family residential  	I. Central Business District	$11,400.00	$60,000.00
02360000210	Commercial  	K. Unrestricted	$48,500.00	$151,600.00
07810000400	two family unit  	D. Multiple Family Residential	$8,150.00	$42,900.00
05650000300	Commercial  	J. Industrial	$2,900.00	$9,100.00
02340000300	Commercial  	K. Unrestricted	$4,300.00	$13,400.00
03420000200	Commercial  	J. Industrial	$3,900.00	$12,200.00
06810000400	two family unit  	D. Multiple Family Residential	$51,280.00	$269,900.00
02420000200	Commercial  	K. Unrestricted	$24,400.00	$76,300.00
03340000300	Commercial  	K. Unrestricted	$1,200.00	$3,800.00
00170001000	Commercial  		$32,000.00	$100,000.00
03850001600	single family units  	D. Multiple Family Residential	$27,720.00	$145,900.00
04040001900	three family unit  	D. Multiple Family Residential	$17,690.00	$93,100.00
03300001650	Commercial  	K. Unrestricted	$36,000.00	$112,500.00
06630001600	three family unit  	D. Multiple Family Residential	$37,870.00	$199,300.00
01170001000				
04890000100	Commercial  	I. Central Business District	$6,400,000.00	$20,000,000.00
04830303800	vacant residential lot  	D. Multiple Family Residential	$1,520.00	$8,000.00
06670001420				
04620600500	Commercial  	I. Central Business District	$169,900.00	$530,900.00
07800002700	multi-building residential  	D. Multiple Family Residential	$40,790.00	$214,700.00
04310600200	Commercial  	J. Industrial	$54,300.00	$169,700.00
03400001800	vacant residential lot  	J. Industrial	$170.00	$900.00
03900001700	vacant residential lot  	D. Multiple Family Residential	$8,510.00	$44,800.00
07780000700	vacant residential lot  	D. Multiple Family Residential	$3,800.00	$20,000.00
05060000300				
04440500650	Commercial  	K. Unrestricted	$0.00	$0.00
03590001300	four family unit  	D. Multiple Family Residential	$1,650.00	$8,700.00
00230000250	Commercial  	L. Jefferson Memorial District	$12,400.00	$38,800.00
01550000350	Commercial  	I. Central Business District	$529,600.00	$1,655,000.00
07780001070	Commercial  	D. Multiple Family Residential	$49,800.00	$155,600.00
02720000500	Commercial  	I. Central Business District	$24,300.00	$75,900.00
00960000200	Commercial  	L. Jefferson Memorial District	$27,900.00	$87,200.00
07200000100	Commercial  	J. Industrial	$54,700.00	$170,900.00
02950000600	Commercial  	K. Unrestricted	$2,300.00	$7,200.00
04750001790	single family units  	A. Single Family Residential	$33,230.00	$174,900.00
04660401300	single family units  	D. Multiple Family Residential	$14,060.00	$74,000.00
05970000100	Commercial  	J. Industrial	$1,500.00	$4,700.00
04650301800	single family units  	D. Multiple Family Residential	$26,130.00	$137,500.00
03860000850	vacant residential lot  	D. Multiple Family Residential	$5,170.00	$27,200.00
04640401210	single family units  	D. Multiple Family Residential	$31,540.00	$166,000.00
03450000900	Commercial  	J. Industrial	$1,200.00	$3,800.00
02330000800	Commercial  	K. Unrestricted	$0.00	$0.00
06200000100	vacant residential lot  	G. Local Commercial and Office	$170.00	$900.00
04660302100	single family units  	D. Multiple Family Residential	$37,180.00	$195,700.00
03470000810	four family unit  	J. Industrial	$1,980.00	$10,400.00
03240001300	Commercial  	J. Industrial	$12,300.00	$38,400.00
04750001300	multi-family residential  	E. Multiple Family Residential	$96,860.00	$509,800.00
00500001250	Commercial  		$2,300.00	$7,200.00
05030001200	Commercial  	I. Central Business District	$58,800.00	$183,800.00
06600400600	Commercial  	K. Unrestricted	$0.00	$0.00
01280000350	Commercial  	I. Central Business District	$1,400.00	$4,400.00
03870600100	vacant residential lot  	X. Not Zoned	$6,690.00	$35,200.00
03790000400	Commercial  		$295,500.00	$923,400.00
00180000890	Commercial  	L. Jefferson Memorial District	$500.00	$1,600.00
03380002600	vacant residential lot  	J. Industrial	$150.00	$800.00
04010000050	vacant residential lot  	D. Multiple Family Residential	$24,130.00	$127,000.00
05910000600	Commercial  	J. Industrial	$5,200.00	$16,300.00
02260000150	Commercial  	K. Unrestricted	$145,200.00	$453,800.00
06800000800	Commercial  	F. Neighborhood Commercial	$5,300.00	$16,600.00
02930000100	Commercial  	K. Unrestricted	$96,200.00	$300,600.00
01240000100	Commercial  	I. Central Business District	$46,600.00	$145,600.00
01770000600	Commercial  	I. Central Business District	$70,300.00	$219,700.00
07800000800	two family unit  	D. Multiple Family Residential	$27,950.00	$147,100.00
04090000410	Commercial  	D. Multiple Family Residential	$1,100.00	$3,400.00
04850002400	single family units  	B. Two Family Residential	$45,130.00	$237,500.00
02740080150	 	I. Central Business District		
01370400100	Commercial  	L. Jefferson Memorial District	$91,600.00	$286,300.00
04750001730	single family units  	A. Single Family Residential	$27,800.00	$146,300.00
05240080500	 	I. Central Business District		
00590000100	Commercial  	L. Jefferson Memorial District	$12,745,300.00	$39,829,100.00
05620002700	single family units  	D. Multiple Family Residential	$5,130.00	$27,000.00
06060001100	Commercial  	K. Unrestricted	$8,000.00	$25,000.00
01590000100	Commercial  		$7,500.00	$23,400.00
06080000100	Commercial  	K. Unrestricted	$6,900.00	$21,600.00
03960001000				
03600002000	Commercial  	D. Multiple Family Residential	$1,700.00	$5,300.00
06700001000	Commercial  	D. Multiple Family Residential	$20,500.00	$64,100.00
04650303700	single family units  	D. Multiple Family Residential	$30,950.00	$162,900.00
05480000910	Commercial  	J. Industrial	$4,400.00	$13,800.00
03950081610	 	D. Multiple Family Residential		
03270000500	Commercial  	J. Industrial	$32,700.00	$102,200.00
06610401110	Commercial  	K. Unrestricted	$32,700.00	$102,200.00
02190001200	Commercial  	I. Central Business District	$28,200.00	$88,100.00
05630000400	Commercial  	D. Multiple Family Residential	$96,900.00	$302,800.00
06000000920	Commercial  	J. Industrial	$900.00	$2,800.00
04480001200	Commercial  	J. Industrial	$101,200.00	$316,300.00
05150000500	Commercial  	I. Central Business District	$47,500.00	$148,400.00
02170000200	Commercial  	I. Central Business District	$0.00	$0.00
04300000300	Commercial  	J. Industrial	$2,067,000.00	$6,459,400.00
00730300850	Commercial  	J. Industrial	$3,000.00	$9,400.00
03830001100	two family unit  	D. Multiple Family Residential	$25,950.00	$136,600.00
04690000150	Commercial  	I. Central Business District	$135,800.00	$424,400.00
03390000500	Commercial  	J. Industrial	$1,000.00	$3,100.00
03640001200	Commercial  	D. Multiple Family Residential	$6,300.00	$19,700.00
06820001200	four family unit  	D. Multiple Family Residential	$17,100.00	$90,000.00
04040080910	 	D. Multiple Family Residential		
04830301700	vacant residential lot  	C. Multiple Family Residential	$1,540.00	$8,100.00
00140000600	Commercial  	L. Jefferson Memorial District	$19,100.00	$59,700.00
01490001100	Commercial  	I. Central Business District	$6,800.00	$21,300.00
04540000800	Commercial  	J. Industrial	$42,700.00	$133,400.00
00470000100	Commercial  	K. Unrestricted	$59,500.00	$185,900.00
00490001100	Commercial  	L. Jefferson Memorial District	$300.00	$900.00
06450000600	Commercial  	J. Industrial	$400.00	$1,300.00
01470000100	Commercial  		$400.00	$1,300.00
04140000150	Commercial  	H. Area Commercial	$231,900.00	$724,700.00
06160000100	Commercial  	G. Local Commercial and Office	$4,200.00	$13,100.00
03730000900	Commercial  	G. Local Commercial and Office	$9,200.00	$28,800.00
04820901200	single family units  	B. Two Family Residential	$48,930.00	$257,500.00
05540000800	vacant residential lot  	D. Multiple Family Residential	$1,440.00	$7,600.00
07690001100	Commercial  	K. Unrestricted	$958,100.00	$2,994,100.00
06670000100	multi-family residential  	D. Multiple Family Residential	$54,360.00	$286,100.00
03990600350	single family units  	D. Multiple Family Residential	$21,030.00	$110,700.00
01610000420	Commercial  	I. Central Business District	$1,100.00	$3,400.00
03080400200	Commercial  	K. Unrestricted	$41,400.00	$129,400.00
03610000560	Commercial  	F. Neighborhood Commercial	$252,400.00	$788,800.00
04820902820	single family units  	C. Multiple Family Residential	$69,070.00	$363,500.00
02340000150	Commercial  	K. Unrestricted	$2,000.00	$6,300.00
03460001500	Commercial  	J. Industrial	$5,600.00	$17,500.00
04660300400	single family units  	D. Multiple Family Residential	$34,500.00	$181,600.00
06190500950	Commercial  	F. Neighborhood Commercial	$1,200.00	$3,800.00
04190000500	Commercial  	K. Unrestricted	$6,400.00	$20,000.00
03300001400	Commercial  	K. Unrestricted	$1,700.00	$5,300.00
03950002300	single family units  	G. Local Commercial and Office	$3,760.00	$19,800.00
03720002000	vacant residential lot  	D. Multiple Family Residential	$4,560.00	$24,000.00
03840001000	single family units  	D. Multiple Family Residential	$60,950.00	$320,800.00
06140001100	two family unit  	J. Industrial	$1,460.00	$7,700.00
07800000200	Commercial  	D. Multiple Family Residential	$48,600.00	$151,900.00
03430000400	Commercial  	J. Industrial	$7,500.00	$23,400.00
04630402700	single family units  	D. Multiple Family Residential	$20,140.00	$106,000.00
05370000200	Commercial  	J. Industrial	$106,400.00	$332,500.00
06800000200	two family unit  	F. Neighborhood Commercial	$38,870.00	$204,600.00
02501300120	Commercial  	K. Unrestricted	$400.00	$1,300.00
04370000200	Commercial  	I. Central Business District	$480,000.00	$1,500,000.00
04220000300	Commercial  	K. Unrestricted	$12,400.00	$38,800.00
04090001500	single family units  	D. Multiple Family Residential	$21,390.00	$112,600.00
03730000300	four family unit  	D. Multiple Family Residential	$33,730.00	$177,500.00
04740301510	Commercial  	D. Multiple Family Residential	$100.00	$300.00
00970000400				
05520000130	Commercial  	D. Multiple Family Residential	$5,600.00	$17,500.00
06820001800	single family units  	D. Multiple Family Residential	$19,840.00	$104,400.00
03640001800	vacant residential lot  	D. Multiple Family Residential	$170.00	$900.00
06390000850	vacant residential lot  	F. Neighborhood Commercial	$170.00	$900.00
06810002100	two family unit  	D. Multiple Family Residential	$31,480.00	$165,700.00
07790000100	vacant residential lot  	G. Local Commercial and Office	$2,770.00	$14,600.00
06240001600	vacant residential lot  	D. Multiple Family Residential	$170.00	$900.00
02790000650	Commercial  	I. Central Business District	$27,100.00	$84,700.00
05290000200	Commercial  	I. Central Business District	$63,500.00	$198,400.00
02780000200	Commercial  		$4,700.00	$14,700.00
06900001200	Commercial  	K. Unrestricted	$32,000.00	$100,000.00
04570001030	Commercial  	I. Central Business District	$211,200.00	$660,000.00
05270001200				
02620003000	single family units  	D. Multiple Family Residential	$9,500.00	$50,000.00
05960000700	vacant residential lot  	C. Multiple Family Residential	$270.00	$1,400.00
06040000100	Commercial  	J. Industrial	$2,400.00	$7,500.00
03610000900	Commercial  	F. Neighborhood Commercial	$21,300.00	$66,600.00
06320000950	two family unit  	D. Multiple Family Residential	$1,200.00	$6,300.00
04480001800	Commercial  	J. Industrial	$4,200.00	$13,100.00
04670302700	single family units  	D. Multiple Family Residential	$37,530.00	$197,500.00
04440500400	Commercial  	K. Unrestricted	$45,100.00	$140,900.00
03210000050	Commercial  	K. Unrestricted	$52,100.00	$162,800.00
01590001010	Commercial  		$30,100.00	$94,100.00
04840006600	single family units  	B. Two Family Residential	$26,640.00	$140,200.00
01700000700	Commercial  	I. Central Business District	$36,200.00	$113,100.00
06670001800	single family units  	D. Multiple Family Residential	$16,260.00	$85,600.00
05760001600	Commercial  	J. Industrial	$86,300.00	$269,700.00
00700000180	Commercial  	L. Jefferson Memorial District	$17,200.00	$53,800.00
03270001600	Commercial  	K. Unrestricted	$16,000.00	$50,000.00
02411800200	Commercial  	K. Unrestricted	$6,400.00	$20,000.00
03820002100	Commercial  	G. Local Commercial and Office	$121,100.00	$378,400.00
06230000400	single family units  	F. Neighborhood Commercial	$8,040.00	$42,300.00
03960000300	vacant residential lot  	D. Multiple Family Residential	$1,370.00	$7,200.00
05570000550	Commercial  	I. Central Business District	$3,600.00	$11,300.00
04650302400	single family units  	D. Multiple Family Residential	$49,460.00	$260,300.00
00670000960	Commercial  	L. Jefferson Memorial District	$624,800.00	$1,952,500.00
06780100400	Commercial  	F. Neighborhood Commercial	$55,200.00	$172,500.00
05620003400	single family units  	D. Multiple Family Residential	$6,570.00	$34,600.00
00210000300	Commercial  	K. Unrestricted	$3,500.00	$10,900.00
03840000900	vacant residential lot  	D. Multiple Family Residential	$3,040.00	$16,000.00
05520000320	Commercial  	D. Multiple Family Residential	$7,900.00	$24,700.00
04640401250	single family units  	D. Multiple Family Residential	$34,180.00	$179,900.00
04820302700	vacant residential lot  	D. Multiple Family Residential	$2,300.00	$12,100.00
02840000900	Commercial  	K. Unrestricted	$3,500.00	$10,900.00
06140000800	vacant residential lot  	J. Industrial	$210.00	$1,100.00
07280000500	Commercial  	J. Industrial	$225,500.00	$704,700.00
01240001200	Commercial  	I. Central Business District	$60,900.00	$190,300.00
06730100500	Commercial  	G. Local Commercial and Office	$48,000.00	$150,000.00
01520001300	Commercial  	I. Central Business District	$6,400.00	$20,000.00
06280000500	vacant residential lot  	D. Multiple Family Residential	$340.00	$1,800.00
05910001500	Commercial  	J. Industrial	$4,900.00	$15,300.00
00180000870	Commercial  	L. Jefferson Memorial District	$3,000.00	$9,400.00
07180000200	Commercial  	G. Local Commercial and Office	$48,300.00	$150,900.00
02620004200	single family units  	D. Multiple Family Residential	$9,500.00	$50,000.00
01470001200	Commercial  	I. Central Business District	$11,300.00	$35,300.00
06160001200	Commercial  	J. Industrial	$5,200.00	$16,300.00
00680000620	Commercial  	L. Jefferson Memorial District	$85,000.00	$265,600.00
04830403600	Commercial  	F. Neighborhood Commercial	$6,200.00	$19,400.00
06180000200	vacant residential lot  	C. Multiple Family Residential	$110.00	$600.00
01490000200	Commercial  		$21,500.00	$67,200.00
04350000100	Commercial  	I. Central Business District	$91,700.00	$286,600.00
03640000100	vacant residential lot  	D. Multiple Family Residential	$130.00	$700.00
01800000600	Commercial  	I. Central Business District	$366,000.00	$1,143,800.00
06820000100	three family unit  	D. Multiple Family Residential	$35,300.00	$185,800.00
06790001800	two family unit  	D. Multiple Family Residential	$24,720.00	$130,100.00
04630402510	Commercial  	I. Central Business District	$29,200.00	$91,300.00
05350000100	Commercial  	I. Central Business District	$75,500.00	$235,900.00
03390001600	vacant residential lot  	D. Multiple Family Residential	$270.00	$1,400.00
05660000600	Commercial  	J. Industrial	$5,800.00	$30,500.00
06130000300	Commercial  	J. Industrial	$44,900.00	$140,300.00
07650000200	Commercial  	K. Unrestricted	$200,500.00	$626,600.00
06380001500	two family unit  	F. Neighborhood Commercial	$12,160.00	$64,000.00
00670000500	Commercial  	L. Jefferson Memorial District	$31,700.00	$99,100.00
04840084010	 	B. Two Family Residential		
06360000500	vacant residential lot  	D. Multiple Family Residential	$60.00	$300.00
03830000200	three family unit  	G. Local Commercial and Office	$37,700.00	$198,400.00
04480000100	Commercial  	J. Industrial	$43,400.00	$135,600.00
01500600400	Commercial  	I. Central Business District	$68,700.00	$214,700.00
03190000100	Commercial  	K. Unrestricted	$8,100.00	$25,300.00
03610001000	vacant residential lot  	F. Neighborhood Commercial	$290.00	$1,500.00
06320001050	two family unit  	D. Multiple Family Residential	$1,060.00	$5,600.00
06710002000	single family units  	D. Multiple Family Residential	$45,010.00	$236,900.00
01480000650	Commercial  	I. Central Business District	$19,200.00	$60,000.00
04610001610	Commercial  	I. Central Business District	$24,800.00	$77,500.00
02620002900	single family units  	D. Multiple Family Residential	$11,910.00	$62,700.00
03590000850	vacant residential lot  	D. Multiple Family Residential	$80.00	$400.00
04080000850	Commercial  		$8,400.00	$26,300.00
02190000100	Commercial  	I. Central Business District	$0.00	$0.00
05200400450	Commercial  	I. Central Business District	$2,400.00	$7,500.00
06800001100	single family units  	D. Multiple Family Residential	$19,680.00	$103,600.00
03900002100	two family unit  	D. Multiple Family Residential	$26,320.00	$138,500.00
06660001650	single family units  	D. Multiple Family Residential	$22,950.00	$120,800.00
05390000100				
01520001900	Commercial  		$29,300.00	$91,600.00
06790000910	multi-family residential  	D. Multiple Family Residential	$34,310.00	$180,600.00
04390000100	Commercial  	K. Unrestricted	$51,900.00	$162,200.00
06330001260				
06140000200	two family unit  	J. Industrial	$1,580.00	$8,300.00
01470000310				
02840000300	Commercial  	K. Unrestricted	$800.00	$2,500.00
06840000450	multi-family residential  	D. Multiple Family Residential	$55,100.00	$290,000.00
04860000400	Commercial  	J. Industrial	$32,200.00	$100,600.00
07140000200	Commercial  	K. Unrestricted	$46,700.00	$145,900.00
00160000500	Commercial  	L. Jefferson Memorial District	$0.00	$0.00
03840000300	three family unit  	D. Multiple Family Residential	$27,470.00	$144,600.00
01600000400	Commercial  	L. Jefferson Memorial District	$10,100.00	$31,600.00
03850000750	Commercial  	D. Multiple Family Residential	$57,100.00	$178,400.00
01550000910	Commercial  	I. Central Business District	$42,400.00	$132,500.00
03300000700	Commercial  	K. Unrestricted	$16,300.00	$50,900.00
06460000150	Commercial  	J. Industrial	$10,100.00	$31,600.00
01170000150	multi-family residential  	I. Central Business District	$570,530.00	$3,002,800.00
06700000900				
03460000600	Commercial  	J. Industrial	$400.00	$1,300.00
05310080610	Commercial  	I. Central Business District		
03690000550	Commercial  	G. Local Commercial and Office	$7,300.00	$22,800.00
06340001500	two family unit  	F. Neighborhood Commercial	$1,620.00	$8,500.00
07690000200	Commercial  	K. Unrestricted	$12,800.00	$40,000.00
01650001500	Commercial  	I. Central Business District	$965,500.00	$3,017,200.00
00440400800	Commercial  	L. Jefferson Memorial District	$7,100.00	$22,200.00
07040001200	Commercial  	J. Industrial	$164,300.00	$513,400.00
06210001400	vacant residential lot  	G. Local Commercial and Office	$170.00	$900.00
02620002300	single family units  	D. Multiple Family Residential	$11,480.00	$60,400.00
05960001400	Commercial  	G. Local Commercial and Office	$4,400.00	$13,800.00
02110400110	Commercial  	I. Central Business District	$5,853,100.00	$18,290,900.00
05200301100	Commercial  	I. Central Business District	$96,500.00	$301,600.00
02760000100	Commercial  	I. Central Business District	$0.00	$0.00
05270000100	Commercial  	I. Central Business District	$165,900.00	$518,400.00
07800003650	two family unit  	D. Multiple Family Residential	$38,320.00	$201,700.00
04270000100	Commercial  	I. Central Business District	$330,300.00	$1,032,200.00
04750000250	multi-family residential  	E. Multiple Family Residential	$11,230.00	$59,100.00
06770000200	vacant residential lot  		$9,310.00	$49,000.00
00750000500	Commercial  	L. Jefferson Memorial District	$112,600.00	$351,900.00
06280001410	Commercial  	F. Neighborhood Commercial	$17,500.00	$54,700.00
06790001200	single family units  	D. Multiple Family Residential	$44,400.00	$233,700.00
02910000200	Commercial  	K. Unrestricted	$726,700.00	$2,270,900.00
04040081010	 	D. Multiple Family Residential		
00260000200	Commercial  	L. Jefferson Memorial District	$765,500.00	$2,392,200.00
05070000170				
05090000600	Commercial  	I. Central Business District	$118,000.00	$368,800.00
04750001520	vacant residential lot  	A. Single Family Residential	$1,600.00	$8,400.00
01490000800	Commercial  	I. Central Business District	$43,800.00	$136,900.00
06180000800	vacant residential lot  	C. Multiple Family Residential	$130.00	$700.00
03860001900	single family units  	D. Multiple Family Residential	$34,880.00	$183,600.00
04650300950	single family units  	D. Multiple Family Residential	$34,490.00	$181,500.00
04560001010	Commercial  	K. Unrestricted, J. Industrial	$13,120,000.00	$41,000,000.00
05540001100	Commercial  	G. Local Commercial and Office	$14,400.00	$45,000.00
04090000600	two family unit  	D. Multiple Family Residential	$13,410.00	$70,600.00
03730001000	Commercial  	G. Local Commercial and Office	$9,700.00	$30,300.00
06630002000	single family units  	D. Multiple Family Residential	$62,320.00	$328,000.00
00990000700	Commercial  	L. Jefferson Memorial District	$372,800.00	$1,165,000.00
00490000800	Commercial  	L. Jefferson Memorial District	$9,800.00	$30,600.00
06710000500	two family unit  	H. Area Commercial	$17,780.00	$93,600.00
06220000200	two family unit  	G. Local Commercial and Office	$9,840.00	$51,800.00
06820082750	 	D. Multiple Family Residential		
04480002400	Commercial  	J. Industrial	$50,100.00	$156,600.00
04200000250	Commercial  	J. Industrial, K. Unrestricted	$131,700.00	$411,600.00
01730000200				
04740301550	Commercial  	D. Multiple Family Residential	$18,400.00	$57,500.00
05640401000	Commercial  	J. Industrial	$4,000.00	$12,500.00
05950000200	Commercial  	C. Multiple Family Residential	$4,200.00	$13,100.00
04050000450	vacant residential lot  	D. Multiple Family Residential	$15,960.00	$84,000.00
04750001580	single family units  	A. Single Family Residential	$32,000.00	$168,400.00
05520000170	Commercial  	D. Multiple Family Residential	$11,700.00	$36,600.00
02970000500	Commercial  	K. Unrestricted	$41,700.00	$130,300.00
06730100750	Commercial  	G. Local Commercial and Office	$39,900.00	$124,700.00
03830002700				
06820002400				
03290000450	Commercial  	K. Unrestricted	$25,200.00	$78,800.00
05210000600	Commercial  	I. Central Business District	$1,228,900.00	$3,840,300.00
00940000100	Commercial  	L. Jefferson Memorial District	$202,400.00	$632,500.00
04820902400	single family units  	C. Multiple Family Residential	$37,910.00	$199,500.00
02230000100	Commercial  	K. Unrestricted	$31,200.00	$97,500.00
03870500300				
06190501200	vacant residential lot  	C. Multiple Family Residential	$190.00	$1,000.00
05570000700	vacant residential lot  	I. Central Business District	$2,340.00	$12,300.00
04840003100	single family units  	B. Two Family Residential	$33,540.00	$176,500.00
02570000110	Commercial  	D. Multiple Family Residential	$2,200.00	$6,900.00
04830302100	vacant residential lot  	D. Multiple Family Residential	$3,250.00	$17,100.00
04650302650	single family units  	D. Multiple Family Residential	$27,990.00	$147,300.00
03230000100	Commercial  	J. Industrial	$25,700.00	$80,300.00
05110000100	Commercial  	I. Central Business District	$0.00	$0.00
02400000100	Commercial  	K. Unrestricted	$2,200.00	$6,900.00
03990600310	single family units  	D. Multiple Family Residential	$20,330.00	$107,000.00
03920500200	vacant residential lot  		$2,130.00	$11,200.00
01740000900	Commercial  	I. Central Business District	$24,000.00	$75,000.00
06380001750	single family units  	F. Neighborhood Commercial	$15,120.00	$79,600.00
03400000100	Commercial  	J. Industrial	$13,500.00	$42,200.00
04690001000	Commercial  	I. Central Business District	$44,900.00	$140,300.00
06170001400	two family unit  	G. Local Commercial and Office	$1,650.00	$8,700.00
00480000400	Commercial  	K. Unrestricted	$5,400.00	$16,900.00
04850001200	single family units  	B. Two Family Residential	$60,650.00	$319,200.00
00670001020	Commercial  	L. Jefferson Memorial District	$106,600.00	$333,100.00
04820300200	Commercial  	C. Multiple Family Residential	$3,600.00	$11,300.00
